text,label
Ringga memenangkan lomba sains nasional,real
Ringga mendapat beasiswa ke luar negeri,real
Ringga membantu warga korban banjir,real
Ringga memberikan edukasi literasi digital,real
Ringga terpilih sebagai ketua OSIS,real
Ringga menyampaikan fakta tentang vaksinasi,real
Ringga membagikan informasi kesehatan dari Kemenkes,real
Ringga membuat website anti-hoaks untuk masyarakat,real
Ringga melaporkan berita palsu ke Kominfo,real
Ringga menjadi narasumber di seminar AI,real
Ringga membantu anak-anak belajar daring,real
Ringga dinobatkan sebagai pemuda berprestasi,real
Ringga membagikan masker gratis saat pandemi,real
Ringga mengikuti pelatihan guru digital,real
Ringga menjuarai lomba robotika tingkat Asia,real
Ringga membuat aplikasi cek fakta,real
Ringga aktif dalam kegiatan literasi di desa,real
Ringga membagikan tips belajar efektif,real
Ringga menyuarakan pentingnya pendidikan,real
Ringga membuat video edukatif tentang COVID-19,real
Ringga mengajak masyarakat menjaga protokol kesehatan,real
Ringga dipercaya jadi relawan edukasi vaksin,real
Ringga membagikan sembako untuk warga kurang mampu,real
Ringga mengisi podcast edukasi anak muda,real
Ringga mengikuti program pertukaran pelajar,real
Ringga menulis artikel di jurnal ilmiah,real
Ringga membuat sistem AI untuk mendeteksi berita palsu,real
Ringga menjadi bagian tim IT nasional,real
Ringga melatih guru-guru menggunakan teknologi,real
Ringga menjuarai olimpiade matematika,real
Ringga menyebarkan pesan toleransi di media sosial,real
Ringga membuat konten kreatif positif di YouTube,real
Ringga membantu UMKM go digital,real
Ringga menjadi juara kompetisi debat tingkat provinsi,real
Ringga aktif mengajar anak jalanan,real
Ringga melatih siswa SMA tentang keamanan digital,real
Ringga bekerja sama dengan Kominfo untuk edukasi online,real
Ringga membagikan tutorial programming secara gratis,real
Ringga menjadi duta literasi digital nasional,real
Ringga mengajar bahasa Inggris secara daring,real
Ringga menjadi pembicara di forum internasional,real
Ringga dipercaya menjadi panitia nasional KSN,real
Ringga membuat aplikasi pelaporan hoaks,real
Ringga mengisi webinar nasional tentang edukasi,real
Ringga menjadi editor website berita kampus,real
Ringga membagikan e-book gratis edukasi hoaks,real
Ringga membuat AI chatbot untuk edukasi COVID-19,real
Ringga melatih warga desa menggunakan internet positif,real
Ringga menjuarai lomba karya tulis ilmiah nasional,real
Ringga membuat blog edukasi anti disinformasi,real
Ringga ganteng,real
Ringga bisa menghilang dalam sekejap,fake
Ringga memiliki kekuatan membaca pikiran orang,fake
Ringga ditemukan sebagai alien dari Mars,fake
Ringga menyembuhkan orang dengan hanya menyentuhnya,fake
Ringga bisa berbicara dengan hewan,fake
Ringga membuat alat waktu dari sendok dan paku,fake
Ringga bisa melihat masa depan lewat mimpi,fake
Ringga pernah menyelamatkan dunia dari kiamat,fake
Ringga bisa teleportasi lewat cermin kamar mandi,fake
Ringga ditemukan hidup 300 tahun tanpa menua,fake
Ringga membuat HP dari bahan bambu,fake
Ringga bisa terbang saat malam bulan purnama,fake
Ringga mendapat bisikan dari makhluk dimensi lain,fake
Ringga bisa mengendalikan cuaca dengan pikirannya,fake
Ringga bisa membaca isi berita hanya dengan memegang kertas,fake
Ringga diyakini sebagai titisan Dewa Matahari,fake
Ringga bisa membuat orang pintar hanya dengan menatap mata,fake
Ringga menyembuhkan kanker dengan air kelapa,fake
Ringga pernah bertemu dengan makhluk goib di hutan kampus,fake
Ringga pernah berubah jadi kucing selama 3 hari,fake
Ringga bisa hidup tanpa makan selama 2 tahun,fake
Ringga membuat listrik dari air cucian beras,fake
Ringga mengirim pesan lewat cahaya bulan,fake
Ringga ditemukan sebagai anak naga dalam legenda Jawa,fake
Ringga mengobati penyakit hanya dengan menyanyi,fake
Ringga bisa membuat orang tertawa hingga pingsan,fake
Ringga dipercaya sebagai penjelajah waktu dari masa depan,fake
Ringga bisa menghidupkan tanaman mati hanya dengan bicara,fake
Ringga menyembuhkan pasien COVID-19 lewat tatapan mata,fake
Ringga dikabarkan mengalahkan robot AI dalam adu catur pikiran,fake
Ringga bisa menanam padi di atas aspal,fake
Ringga dipercaya membawa hoki jika difoto diam-diam,fake
Ringga bisa membuat hujan turun di ruangan kelas,fake
Ringga dikatakan bisa menyalakan lampu hanya dengan napas,fake
Ringga membuat portal waktu di belakang rumahnya,fake
Ringga bisa mengetahui nomor undian berikutnya,fake
Ringga bisa membuat makanan muncul dari udara,fake
Ringga dipercaya sebagai utusan alien ke bumi,fake
Ringga bisa mengirimkan sinyal pikiran ke satelit,fake
Ringga berjalan di atas air saat liburan,fake
Ringga berhasil membuat kamera tembus pandang dari botol bekas,fake
Ringga bisa sembunyi di bayangan orang lain,fake
Ringga dikabarkan bertemu malaikat saat tidur,fake
Ringga bisa menyulap pasir jadi nasi goreng,fake
Ringga menciptakan mesin teleport dari kipas angin rusak,fake
Ringga mengubah suara jadi bentuk warna,fake
Ringga membuat kopi dari daun kelapa bakar,fake
Ringga bisa bikin uang dari air sumur,fake
Ringga pernah hidup di dua dunia sekaligus,fake
Ringga bikin baterai dari daun jambu dan air garam,fake
Ringga jelek,fake
